Country,Year,Metric Name, Metric Value ,Source,Source Link,corrected metric
Argentina,2014,FATFA Rating,,,,
Argentina,2014,Number of SARs/STRs," 25,589.00 ",UIF Annual Report 2014,https://www.argentina.gob.ar/sites/default/files/2016/09/informe_anual_de_gestion_2014.pdf,
Argentina,2014,SARs/STRs per Capita,,,,
Argentina,2014,Fine Volume,,,,
Argentina,2014,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2014,Fine Count,,,,
Argentina,2014,Fine Count per Capita,,,,
Argentina,2014,Recovered Assets,,,,
Argentina,2014,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2014,Conviction Count,,,,
Argentina,2014,Convictions per Capita,,,,
Argentina,2014,Inflation,,,,
Argentina,2014,Annual GDP,,,,
Argentina,2015,FATFA Rating,,,,
Argentina,2015,Number of SARs/STRs," 15,386.00 ",UIF Annual Report 2015,https://www.argentina.gob.ar/sites/default/files/2016/09/informe_gestion_2015.pdf,
Argentina,2015,SARs/STRs per Capita,,,,
Argentina,2015,Fine Volume,,,,
Argentina,2015,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2015,Fine Count,,,,
Argentina,2015,Fine Count per Capita,,,,
Argentina,2015,Recovered Assets,,,,
Argentina,2015,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2015,Conviction Count,,,,
Argentina,2015,Convictions per Capita,,,,
Argentina,2015,Inflation,,,,
Argentina,2015,Annual GDP,,,,
Argentina,2016,FATFA Rating,,,,
Argentina,2016,Number of SARs/STRs," 24,482.00 ",UIF Annual Report 2016,"https://www.argentina.gob.ar/sites/default/files/2016/09/informe_de_gestion_2016_ultima_version_on_line_3_0_0.pdf, https://www.argentina.gob.ar/sites/default/files/2016/09/informe_de_gestion_2019_.pdf",
Argentina,2016,SARs/STRs per Capita,,,,
Argentina,2016,Fine Volume,,,,
Argentina,2016,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2016,Fine Count,,,,
Argentina,2016,Fine Count per Capita,,,,
Argentina,2016,Recovered Assets,,,,
Argentina,2016,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2016,Conviction Count,,,,
Argentina,2016,Convictions per Capita,,,,
Argentina,2016,Inflation,,,,
Argentina,2016,Annual GDP,,,,
Argentina,2017,FATFA Rating,,,,
Argentina,2017,Number of SARs/STRs," 17,985.00 ",UIF Annual Report 2017,"https://www.argentina.gob.ar/sites/default/files/2016/09/informe_de_gestion_2017_digital.pdf, https://www.argentina.gob.ar/sites/default/files/2016/09/informe_de_gestion_2019_.pdf",
Argentina,2017,SARs/STRs per Capita,,,,
Argentina,2017,Fine Volume,,,,
Argentina,2017,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2017,Fine Count,,,,
Argentina,2017,Fine Count per Capita,,,,
Argentina,2017,Recovered Assets,,,,
Argentina,2017,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2017,Conviction Count,,,,
Argentina,2017,Convictions per Capita,,,,
Argentina,2017,Inflation,,,,
Argentina,2017,Annual GDP,,,,
Argentina,2018,FATFA Rating,,,,
Argentina,2018,Number of SARs/STRs," 23,364.00 ",UIF Annual Report 2018,https://www.argentina.gob.ar/sites/default/files/2016/09/informe_de_gestion_2018_web_0.pdf. https://www.argentina.gob.ar/sites/default/files/2016/09/informe_de_gestion_2019_.pdf,
Argentina,2018,SARs/STRs per Capita,,,,
